file,subset,seed,load_f1,real_f1,tn,tp,fn,fp,fnr,rec
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Beer/imputed_beer_txt/testing_file_0.05_3083_imputed.txt,0.05,3083,0.8666666666666667,0.8666666666666667,74.0,13.0,1.0,3.0,0.07142857142857142,0.9285714285714286
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Beer/imputed_beer_txt/testing_file_0.1_3083_imputed.txt,0.1,3083,0.8484848484848485,0.8484848484848485,72.0,14.0,0.0,5.0,0.0,1.0
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Beer/imputed_beer_txt/testing_file_0.2_3083_imputed.txt,0.2,3083,0.7692307692307693,0.7692307692307693,75.0,10.0,4.0,2.0,0.2857142857142857,0.7142857142857143
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Beer/imputed_beer_txt/testing_file_0.4_3083_imputed.txt,0.4,3083,0.6153846153846154,0.6153846153846154,73.0,8.0,6.0,4.0,0.42857142857142855,0.5714285714285714
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Beer/imputed_beer_txt/testing_file_0.8_3083_imputed.txt,0.8,3083,0.43636363636363634,0.43636363636363634,48.0,12.0,2.0,29.0,0.14285714285714285,0.8571428571428571
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Beer/imputed_beer_txt/testing_file_0.05_4345_imputed.txt,0.05,4345,0.8461538461538461,0.8461538461538461,76.0,11.0,3.0,1.0,0.21428571428571427,0.7857142857142857
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Beer/imputed_beer_txt/testing_file_0.1_4345_imputed.txt,0.1,4345,0.88,0.88,77.0,11.0,3.0,0.0,0.21428571428571427,0.7857142857142857
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Beer/imputed_beer_txt/testing_file_0.2_4345_imputed.txt,0.2,4345,0.75,0.75,76.0,9.0,5.0,1.0,0.35714285714285715,0.6428571428571429
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Beer/imputed_beer_txt/testing_file_0.4_4345_imputed.txt,0.4,4345,0.5384615384615384,0.5384615384615384,72.0,7.0,7.0,5.0,0.5,0.5
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Beer/imputed_beer_txt/testing_file_0.8_4345_imputed.txt,0.8,4345,0.35294117647058826,0.35294117647058826,35.0,12.0,2.0,42.0,0.14285714285714285,0.8571428571428571
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Beer/imputed_beer_txt/testing_file_0.05_7720_imputed.txt,0.05,7720,0.8571428571428571,0.8571428571428571,75.0,12.0,2.0,2.0,0.14285714285714285,0.8571428571428571
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Beer/imputed_beer_txt/testing_file_0.1_7720_imputed.txt,0.1,7720,0.7692307692307693,0.7692307692307693,75.0,10.0,4.0,2.0,0.2857142857142857,0.7142857142857143
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Beer/imputed_beer_txt/testing_file_0.2_7720_imputed.txt,0.2,7720,0.6666666666666666,0.6666666666666666,73.0,9.0,5.0,4.0,0.35714285714285715,0.6428571428571429
