file,subset,seed,load_f1,real_f1,tn,tp,fn,fp,fnr,rec
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_1040.txt,0.05,1040.txt,0.617801047120419,0.617801047120419,1785,118,75,71,0.38860103626943,0.61139896373057
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_1071.txt,0.05,1071.txt,0.582010582010582,0.582010582010582,1781,110,83,75,0.430051813471503,0.569948186528497
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_1211.txt,0.05,1211.txt,0.608450704225352,0.608450704225352,1802,108,85,54,0.440414507772021,0.559585492227979
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_1348.txt,0.05,1348.txt,0.646739130434783,0.646739130434783,1800,119,74,56,0.383419689119171,0.616580310880829
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_1348.txt,0.05,1348.txt,0.646739130434783,0.646739130434783,1800,119,74,56,0.383419689119171,0.616580310880829
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_1747.txt,0.05,1747.txt,0.585241730279898,0.585241730279898,1771,115,78,85,0.404145077720207,0.595854922279793
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_2073.txt,0.05,2073.txt,0.628571428571429,0.628571428571429,1761,132,61,95,0.316062176165803,0.683937823834197
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_2486.txt,0.05,2486.txt,0.640226628895184,0.640226628895184,1809,113,80,47,0.414507772020725,0.585492227979275
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_2655.txt,0.05,2655.txt,0.619047619047619,0.619047619047619,1788,117,76,68,0.393782383419689,0.606217616580311
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_2851.txt,0.05,2851.txt,0.586021505376344,0.586021505376344,1786,109,84,70,0.435233160621762,0.564766839378238
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_2976.txt,0.05,2976.txt,0.624,0.624,1791,117,76,65,0.393782383419689,0.606217616580311
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_3030.txt,0.05,3030.txt,0.627450980392157,0.627450980392157,1804,112,81,52,0.419689119170984,0.580310880829016
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_322.txt,0.05,322.txt,0.617486338797814,0.617486338797814,1796,113,80,60,0.414507772020725,0.585492227979275
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_3279.txt,0.05,3279.txt,0.62015503875969,0.62015503875969,1782,120,73,74,0.378238341968912,0.621761658031088
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_348.txt,0.05,348.txt,0.578512396694215,0.576923076923077,1790,105,88,66,0.455958549222798,0.544041450777202
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_3643.txt,0.05,3643.txt,0.585241730279898,0.585241730279898,1771,115,78,85,0.404145077720207,0.595854922279793
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_5000.txt,0.05,5000.txt,0.604904632152589,0.604904632152589,1793,111,82,63,0.424870466321244,0.575129533678757
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_5028.txt,0.05,5028.txt,0.606356968215159,0.606356968215159,1764,124,69,92,0.357512953367876,0.642487046632124
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_5267.txt,0.05,5267.txt,0.654627539503386,0.656108597285068,1752,145,48,104,0.248704663212435,0.751295336787565
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_5371.txt,0.05,5371.txt,0.605744125326371,0.603674540682415,1783,115,78,73,0.404145077720207,0.595854922279793
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_5390.txt,0.05,5390.txt,0.60427807486631,0.60427807486631,1788,113,80,68,0.414507772020725,0.585492227979275
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_640.txt,0.05,640.txt,0.663212435233161,0.663212435233161,1791,128,65,65,0.336787564766839,0.663212435233161
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_6786.txt,0.05,6786.txt,0.655502392344498,0.655502392344498,1768,137,56,88,0.290155440414508,0.709844559585492
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_6788.txt,0.05,6788.txt,0.616216216216216,0.616216216216216,1793,114,79,63,0.409326424870466,0.590673575129534
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_7068.txt,0.05,7068.txt,0.588555858310627,0.588555858310627,1790,108,85,66,0.440414507772021,0.559585492227979
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_7423.txt,0.05,7423.txt,0.650793650793651,0.650793650793651,1794,123,70,62,0.362694300518135,0.637305699481865
/root/workspace/FAISS-Imputation/ditto-master/data/er_magellan/Structured/Walmart-Amazon/non-imputed_walmartAmazon_with_last_column-thr88_unchanged_attributes/testing_file_0.05_7807.txt,0.05,7807.txt,0.592991913746631,0.592991913746631,1788,110,83,68,0.430051813471503,0.569948186528497
